Date,VOX,VCR,VDC,VDE,VFH,VHT,VIS,VGT,VNQ,VPU
2017-10-31,-0.0307,0.0164,-0.0147,-0.0106,0.0254,-0.0075,0.0066,0.0739,-0.0107,0.0391
2017-11-30,0.0248,0.05,0.0557,0.0206,0.0352,0.0288,0.0386,0.0109,0.0266,0.0289
2017-12-31,0.0064,0.0229,0.0205,0.0539,0.0146,-0.0051,0.0188,0.0009,-0.0015,-0.059
2018-01-31,0.0114,0.0835,0.0171,0.0315,0.0571,0.0679,0.046,0.0755,-0.0425,-0.0313
2018-02-28,-0.0572,-0.0369,-0.0744,-0.1074,-0.0271,-0.0419,-0.0439,0.001,-0.0768,-0.0411
2018-03-31,-0.0288,-0.0231,-0.0061,0.0204,-0.0322,-0.0241,-0.0196,-0.0338,0.0389,0.0403
2018-04-30,0.0136,0.0193,-0.0371,0.0969,-0.0036,0.0091,-0.0268,-0.0002,0.0082,0.0246
2018-05-31,-0.0263,0.022,-0.0111,0.0359,-0.0016,0.0154,0.0332,0.0705,0.0368,-0.0031
2018-06-30,0.0377,0.03,0.0456,0.0073,-0.0187,0.0157,-0.0251,-0.0061,0.042,0.0242
2018-07-31,-0.0058,0.0146,0.0345,0.0108,0.0468,0.0595,0.0672,0.0262,0.006,0.0167
2018-08-31,0.0283,0.0511,0.0083,-0.0296,0.0138,0.0501,0.0078,0.0894,0.0257,0.0115
2018-09-30,0.0052,0.0006,0.0062,0.0263,-0.0261,0.0222,0.0153,0.0021,-0.0267,-0.0039
2018-10-31,-0.062,-0.1023,0.017,-0.1211,-0.0535,-0.0769,-0.1117,-0.0848,-0.0293,0.0117
2018-11-30,-0.0073,0.0233,0.0194,-0.0284,0.0268,0.0653,0.036,-0.0147,0.0467,0.0392
2018-12-31,-0.0828,-0.0888,-0.0904,-0.1341,-0.1138,-0.0914,-0.1097,-0.0834,-0.0795,-0.0414
2019-01-31,0.1056,0.1008,0.0544,0.1171,0.0942,0.0593,0.1135,0.0799,0.1186,0.0372
2019-02-28,0.0037,0.015,0.0203,0.0217,0.0311,0.0164,0.0625,0.0733,0.0069,0.0388
2019-03-31,0.0179,0.0277,0.0345,0.0231,-0.031,0.0038,-0.013,0.0407,0.0421,0.0284
2019-04-30,0.0606,0.051,0.0253,-0.0019,0.0855,-0.027,0.0456,0.0637,-0.0016,0.0086
2019-05-31,-0.0565,-0.079,-0.0418,-0.1171,-0.0701,-0.0268,-0.0755,-0.0888,0.0014,-0.0087
2019-06-30,0.0394,0.0776,0.0499,0.0882,0.0651,0.072,0.0819,0.0878,0.0155,0.0333
2019-07-31,0.0342,0.0116,0.0236,-0.0241,0.0274,-0.013,0.0078,0.0354,0.017,-0.0021
2019-08-31,-0.0277,-0.0174,0.0159,-0.0871,-0.0516,-0.0118,-0.031,-0.0219,0.0374,0.0483
2019-09-30,-0.0027,0.0134,0.0191,0.0388,0.0478,-0.0079,0.031,0.0132,0.0193,0.0409
2019-10-31,0.03,0.0071,-0.0046,-0.0263,0.0204,0.0478,0.0138,0.0375,0.0113,-0.0086
2019-11-30,0.0319,0.0186,0.0146,0.0108,0.0494,0.0613,0.0429,0.0559,-0.013,-0.0198
2019-12-31,0.0225,0.0296,0.0264,0.0714,0.0239,0.0322,0.0009,0.0397,0.0077,0.0312
2020-01-31,0.0062,0.012,-0.0052,-0.118,-0.024,-0.025,-0.006,0.0381,0.0123,0.061
2020-02-29,-0.0563,-0.0758,-0.0812,-0.1495,-0.112,-0.0624,-0.0925,-0.0729,-0.0703,-0.0999
2020-03-31,-0.1439,-0.178,-0.0607,-0.3653,-0.2277,-0.0501,-0.2011,-0.0973,-0.1939,-0.1008
2020-04-30,0.144,0.2193,0.0736,0.3222,0.1004,0.1345,0.0949,0.142,0.0896,0.0323
2020-05-31,0.0692,0.0728,0.0213,0.0165,0.0288,0.0435,0.0594,0.0786,0.0173,0.0431
2020-06-30,0.0009,0.0549,-0.0018,-0.0088,0.0032,-0.0163,0.0193,0.0704,0.0243,-0.0485
2020-07-31,0.0739,0.0921,0.0691,-0.0419,0.0299,0.0521,0.0448,0.0594,0.0364,0.0724
2020-08-31,0.0809,0.1295,0.0465,-0.0063,0.0387,0.0236,0.0825,0.1114,0.0044,-0.0254
2020-09-30,-0.0544,-0.0333,-0.0185,-0.1474,-0.0382,-0.0136,-0.011,-0.0487,-0.0266,0.0058
2020-10-31,0.0076,-0.0234,-0.0235,-0.0347,0.0075,-0.0287,-0.0109,-0.0432,-0.03,0.0489
2020-11-30,0.123,0.1412,0.079,0.2804,0.1637,0.0884,0.1683,0.1253,0.0967,0.0143
2020-12-31,0.0448,0.0524,0.0196,0.0525,0.0692,0.0416,0.02,0.0571,0.0273,0.0089
2021-01-31,-0.0019,0.0295,-0.041,0.0496,-0.0152,0.0237,-0.0295,-0.007,0.0004,-0.0104
2021-02-28,0.0708,0.0008,-0.0065,0.2245,0.1176,-0.0193,0.0684,0.0148,0.0343,-0.0554
2021-03-31,0.0071,0.04,0.0787,0.049,0.0751,0.0235,0.0953,-0.0094,0.0409,0.0908
2021-04-30,0.0668,0.0632,0.0183,0.0043,0.0627,0.0414,0.0358,0.0515,0.0786,0.0378
2021-05-31,-0.0009,-0.0286,0.0183,0.0655,0.0413,0.0073,0.0251,-0.0124,0.0081,-0.0234
2021-06-30,0.0396,0.0307,-0.0069,0.0524,-0.0286,0.0327,-0.02,0.0728,0.0264,-0.0185
2021-07-31,0.006,0.0034,0.0164,-0.087,-0.0028,0.0376,0.0045,0.0337,0.0442,0.0392
2021-08-31,0.036,0.0186,0.0114,-0.0185,0.0511,0.0237,0.0095,0.0351,0.0215,0.037
2021-09-30,-0.0585,-0.0294,-0.0392,0.1,-0.017,-0.055,-0.0537,-0.0574,-0.0568,-0.0616
2021-10-31,0.0072,0.093,0.0361,0.099,0.0755,0.0457,0.0679,0.0819,0.0713,0.0512
2021-11-30,-0.0639,0.0082,-0.0143,-0.0575,-0.0535,-0.0397,-0.0313,0.0312,-0.0211,-0.0159
2021-12-31,0.025,-0.0008,0.0991,0.0263,0.0293,0.0769,0.0474,0.0253,0.0971,0.0942
2022-01-31,-0.0577,-0.0957,-0.0144,0.1893,-0.0004,-0.0762,-0.0599,-0.0767,-0.0756,-0.0269
2022-02-28,-0.0584,-0.0359,-0.01,0.075,-0.0132,-0.0098,-0.0049,-0.0435,-0.0348,-0.0187
2022-03-31,0.0016,0.0298,0.0109,0.092,-0.0144,0.0471,0.0273,0.0311,0.0569,0.0909
2022-04-30,-0.1484,-0.1136,0.0254,-0.0092,-0.0974,-0.0558,-0.0759,-0.1169,-0.0356,-0.0375
2022-05-31,0.012,-0.0514,-0.0426,0.1519,0.0351,0.0096,-0.008,-0.0166,-0.0469,0.0451
